reference_id,reference_text,primary_url,checked_date,verification,full_method_reproduced,domain_claims_approved_for_app,snapshot_hash,reviewer
R01,World Health Organization. *Cancer: Carcinogenicity of the consumption of red meat and processed meat*. Official question-and-answer page. https://www.who.int/news-room/questions-and-answers/item/cancer-carcinogenicity-of-the-consumption-of-red-meat-and-processed-meat/ . Checked 18 September 2026; relevant official text inspected.,https://www.who.int/news-room/questions-and-answers/item/cancer-carcinogenicity-of-the-consumption-of-red-meat-and-processed-meat/,2026-09-18,relevant_html_or_record_as_explicitly_described,no,no,,
R02,World Cancer Research Fund. *Limit consumption of red and processed meat*. https://www.wcrf.org/research-policy/evidence-for-our-recommendations/limit-red-processed-meat/ . Checked 18 September 2026; recommendation and evidence wording inspected.,https://www.wcrf.org/research-policy/evidence-for-our-recommendations/limit-red-processed-meat/,2026-09-18,relevant_html_or_record_as_explicitly_described,no,no,,
R03,National Cancer Institute. *Chemicals in Meat Cooked at High Temperatures and Cancer Risk*. https://www.cancer.gov/about-cancer/causes-prevention/risk/diet/cooked-meats-fact-sheet . Checked 18 September 2026; mechanisms and limitations inspected.,https://www.cancer.gov/about-cancer/causes-prevention/risk/diet/cooked-meats-fact-sheet,2026-09-18,relevant_html_or_record_as_explicitly_described,no,no,,
R04,AI4Food. *FoodNExTDB repository*. https://github.com/AI4Food/FoodNExtDB . Checked 18 September 2026; README and research-use restriction inspected. Dataset archive not downloaded or audited for this work plan.,https://github.com/AI4Food/FoodNExtDB,2026-09-18,relevant_html_or_record_as_explicitly_described,no,no,,
R05,"*Are Vision-Language Models Ready for Dietary Assessment? Exploring the Next Frontier in AI-Powered Food Image Recognition*. arXiv:2504.06925. https://arxiv.org/html/2504.06925v1 . Checked 18 September 2026; relevant HTML text inspected, not an experimental reproduction.",https://arxiv.org/html/2504.06925v1,2026-09-18,relevant_html_or_record_as_explicitly_described,no,no,,
R06,"Google Research Datasets. *Nutrition5k*. https://github.com/google-research-datasets/Nutrition5k . Checked 18 September 2026; ingredients, grouping and stated reuse permission inspected. Archive not downloaded.",https://github.com/google-research-datasets/Nutrition5k,2026-09-18,relevant_html_or_record_as_explicitly_described,no,no,,
R07,Open Food Facts. *License — be on the legal side*. https://openfoodfacts.github.io/documentation/docs/Product-Opener/api/tutorials/license-be-on-the-legal-side/ . Checked 18 September 2026; licence distinctions inspected.,https://openfoodfacts.github.io/documentation/docs/Product-Opener/api/tutorials/license-be-on-the-legal-side/,2026-09-18,relevant_html_or_record_as_explicitly_described,no,no,,
R08,"Lee W, Mekkoth P, Tian Y, Gungor O, Rosing T. *FoodCHA: Multi-Modal LLM Agent for Fine-Grained Food Analysis*. arXiv:2605.05499, 2026. https://arxiv.org/html/2605.05499v1 . Checked 18 September 2026; record and relevant HTML inspected. Preprint status used in this plan.",https://arxiv.org/html/2605.05499v1,2026-09-18,relevant_html_or_record_as_explicitly_described,no,no,,
R09,"*OmniFood-Bench: Evaluating VLMs for Nutrient Reasoning and Personalized Health Advice*. arXiv:2607.08423, v2, 2026. https://arxiv.org/abs/2607.08423 . Checked 18 September 2026; abstract and version record inspected. Detailed implementation remains a development review task.",https://arxiv.org/abs/2607.08423,2026-09-18,relevant_html_or_record_as_explicitly_described,no,no,,
R10,"Li Z, Yan C, Jackson NJ, Cui W, Li B, Zhang J, Malin BA. *Towards Statistical Factuality Guarantee for Large Vision-Language Models*. EMNLP 2025, 11435–11456. DOI: 10.18653/v1/2025.emnlp-main.576. https://aclanthology.org/2025.emnlp-main.576/ . Checked 18 September 2026; publisher metadata and abstract inspected. Formal adaptation requires full-method review.",https://aclanthology.org/2025.emnlp-main.576/,2026-09-18,relevant_html_or_record_as_explicitly_described,no,no,,
R11,"Xu J, Wu Y, Zeng D, Paisley J, Zhao Q. *Look Again Before You Abstain: Budgeted Conformal Evidence Acquisition for Reliable Vision-Language Model*. arXiv:2606.16667, v4, 2026. https://arxiv.org/abs/2606.16667 . Checked 18 September 2026; abstract and version record inspected; no guarantee reproduced.",https://arxiv.org/abs/2606.16667,2026-09-18,relevant_html_or_record_as_explicitly_described,no,no,,
R12,"Goren S, Galil I, El-Yaniv R. *Hierarchical Selective Classification*. arXiv:2405.11533, v2. https://arxiv.org/abs/2405.11533 . Checked 18 September 2026; record/abstract inspected.",https://arxiv.org/abs/2405.11533,2026-09-18,relevant_html_or_record_as_explicitly_described,no,no,,
R13,"Khurana U, Nalisnick E, Fokkens A, Swayamdipta S. *Crowd-Calibrator: Can Annotator Disagreement Inform Calibration in Subjective Tasks?* arXiv:2408.14141; record states accepted at COLM 2024. https://arxiv.org/abs/2408.14141 . Checked 18 September 2026; record/abstract inspected.",https://arxiv.org/abs/2408.14141,2026-09-18,relevant_html_or_record_as_explicitly_described,no,no,,
R14,"*When and why vision-language models behave like bags-of-words, and what to do about it?* arXiv:2210.01936. https://arxiv.org/abs/2210.01936 . Checked 18 September 2026; record/abstract inspected. Used for attribute-binding precedent, not dietary validity.",https://arxiv.org/abs/2210.01936,2026-09-18,relevant_html_or_record_as_explicitly_described,no,no,,
R15,"Guo C, Pleiss G, Sun Y, Weinberger KQ. *On Calibration of Modern Neural Networks*. ICML 2017, PMLR 70:1321–1330. https://proceedings.mlr.press/v70/guo17a . Checked 18 September 2026; proceedings record and abstract inspected.",https://proceedings.mlr.press/v70/guo17a,2026-09-18,relevant_html_or_record_as_explicitly_described,no,no,,
R16,"Lee Y, Foygel Barber R, Willett R. *Distribution-free inference with hierarchical data*. arXiv:2306.06342, v4. https://arxiv.org/abs/2306.06342 . Checked 18 September 2026; record/abstract inspected. No theorem is claimed for PCSI on this basis alone.",https://arxiv.org/abs/2306.06342,2026-09-18,relevant_html_or_record_as_explicitly_described,no,no,,
R17,"Medicines and Healthcare products Regulatory Agency. *Crafting an intended purpose in the context of software as a medical device*. https://www.gov.uk/government/publications/crafting-an-intended-purpose-in-the-context-of-software-as-a-medical-device-samd/crafting-an-intended-purpose-in-the-context-of-software-as-a-medical-device-samd . Checked 18 September 2026; relevant official guidance inspected, not a legal classification of OncoPlate.",https://www.gov.uk/government/publications/crafting-an-intended-purpose-in-the-context-of-software-as-a-medical-device-samd/crafting-an-intended-purpose-in-the-context-of-software-as-a-medical-device-samd,2026-09-18,relevant_html_or_record_as_explicitly_described,no,no,,
R18,Information Commissioner's Office. *What is special category data?* https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/lawful-basis/special-category-data/what-is-special-category-data/ . Checked 18 September 2026; health/inference text and update warning inspected. Obtain current institutional advice at collection and release.,https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/lawful-basis/special-category-data/what-is-special-category-data/,2026-09-18,relevant_html_or_record_as_explicitly_described,no,no,,
R19,TorchVision. *resnet50*. https://docs.pytorch.org/vision/stable/models/generated/torchvision.models.resnet50.html . Checked 18 September 2026; official model documentation inspected. Pin installed software and weights at execution.,https://docs.pytorch.org/vision/stable/models/generated/torchvision.models.resnet50.html,2026-09-18,relevant_html_or_record_as_explicitly_described,no,no,,
R20,TorchVision. *convnext_tiny*. https://docs.pytorch.org/vision/stable/models/generated/torchvision.models.convnext_tiny.html . Checked 18 September 2026; official model documentation inspected. This is not ConvNeXt-V2.,https://docs.pytorch.org/vision/stable/models/generated/torchvision.models.convnext_tiny.html,2026-09-18,relevant_html_or_record_as_explicitly_described,no,no,,
R21,Meta / FAIR. *DINOv2 repository*. https://github.com/facebookresearch/dinov2 . Checked 18 September 2026; checkpoint interface and repository inspected. Review the exact weight licence; different model extensions have different terms.,https://github.com/facebookresearch/dinov2,2026-09-18,relevant_html_or_record_as_explicitly_described,no,no,,
