task_id,work_package,task,dependencies,deliverable,completion_criterion,status,named_owner,evidence_path,actual_start,actual_finish
T01,WP0,Archive exposure-tier target and migration record,None,archival_notice.md,Old target absent from active specs,PLANNED,,,,
T02,WP0,Prepare supervisor decision packet,T01,supervisor_packet,Actual decision recorded; do not infer from owner acceptance,PLANNED,,,,
T03,WP1,Verify source versions and prior-art candidates,T02,evidence_registry.csv,Primary sources and verification levels logged,PLANNED,,,,
T04,WP1,Draft and domain-review claim menu,T03,claim_dictionary_v1,Every claim has required premises and allowed wording,PLANNED,,,,
T05,WP2,Confirm domain reviewer and annotation capacity,T02,roles_and_capacity,Roles actually accepted,PLANNED,,,,
T06,WP2,Record ethics privacy storage and reuse determinations,T04;T05,approvals_and_rights,Applicable institutional decisions documented,PLANNED,,,,
T07,WP2,Budget pilot collection annotation and compute,T05,approved_resource_plan,Costs based on quotes or actual pilot effort,PLANNED,,,,
T08,WP3,Implement environment and gate checks after approval,T02,environment_manifest,Supervisor execution gate passed,PLANNED,,,,
T09,WP3,Download authorised public data and save hashes,T06;T08,download_manifest,No unreviewed transfer or prohibited reuse,PLANNED,,,,
T10,WP3,Audit annotation schema and duplicates,T09,dataset_audit,Complete records preserved; no invented item IDs,PLANNED,,,,
T11,WP3,Build attributes tuples and observation masks,T10,target_tables,Missing is not negative; multiple foods retained,PLANNED,,,,
T12,WP3,Freeze public-data grouped splits,T11,split_integrity,No participant or duplicate leakage,PLANNED,,,,
T13,WP3,Run fitting-only 256-image ResNet smoke test,T12,smoke_test,Feature/ID alignment and reload checks pass,PLANNED,,,,
T14,WP3,Train seed-0 frequency attribute and joint baselines,T13,validation_predictions,Predictions and configs saved; no test inspection,PLANNED,,,,
T15,WP4,Train reviewers on independent pilot instructions,T04;T06,reviewer_training_record,Rubric applied before viewing model outputs,PLANNED,,,,
T16,WP4,Collect 100 pilot records after permission,T07;T15,pilot_manifest,Documented sources and group IDs complete,PLANNED,,,,
T17,WP4,Perform image-only and source-informed review,T16,pilot_reference,Unknowns disagreements and conflicts retained,PLANNED,,,,
T18,WP4,Measure reviewer effort and group variation,T17,pilot_quality_report,Timing and independent-group counts reported,PLANNED,,,,
T19,WP4,Simulate sample precision and lock revised design,T18;T14,v3_1_design,Group counts and effect/margin choices fixed before test,PLANNED,,,,
T20,WP5,Acquire main records under fixed allocation,T19,main_manifest,Diversity and provenance monitored without model-based exclusions,PLANNED,,,,
T21,WP6,Dual-review and adjudicate main records,T20,main_reference,Original labels and adjudication preserved,PLANNED,,,,
T22,WP6,Build leakage graph and freeze new benchmark splits,T21,split_lock,All linked views/formulations/households held together,PLANNED,,,,
T23,WP6,Seal main test labels and custodian access,T22,test_access_log,Training paths cannot access test labels,PLANNED,,,,
T24,WP7,Implement candidate generator and generic selector,T19;T22,baseline_modules,Information and capacity matching documented,PLANNED,,,,
T25,WP7,Train grouped OOF selector data,T24,oof_predictions,Each OOF participant excluded from corresponding fit,PLANNED,,,,
T26,WP7,Implement source gate and rendering tests,T04;T25,pcsi_and_tests,No reference-oracle inputs; conflicts cannot create certainty,PLANNED,,,,
T27,WP7,Implement rules-only and provenance ablations,T26,ablation_configs,Same generator and output budget,PLANNED,,,,
T28,WP7,Implement equal-budget clarification replay,T26,episode_replay,Absent record answer returns unknown; ideal replay labelled,PLANNED,,,,
T29,WP8,Run three-backbone two-regime two-head five-seed grid,T24;T27,predictor_registry,60 principal predictor fits; additional fits separately logged,PLANNED,,,,
T30,WP8,Fit calibration and lock thresholds,T29,calibration_and_thresholds,No final-test labels used,PLANNED,,,,
T31,WP8,Freeze analysis prompts models and source versions,T28;T30,analysis_lock,Hashes and comparisons immutable before test access,PLANNED,,,,
T32,WP9,Collect 400 fresh independent records after lock,T31;T06,external_manifest,New groups; type of externality explicitly recorded,PLANNED,,,,
T33,WP9,Execute locked main and external evaluation,T23;T31;T32,test_predictions,All methods receive matched declared inputs,PLANNED,,,,
T34,WP9,Calculate paired grouped intervals and all null outcomes,T33,final_results,Seed dispersion separate; no best-seed selection,PLANNED,,,,
T35,WP10,Regenerate paper figures and draft supported conclusions,T34,paper_package,Every numeric statement traces to saved output,PLANNED,,,,
T36,WP10,Audit licences overlap claims and source accuracy,T35,submission_audit,No unsupported priority or chemical claim,PLANNED,,,,
T37,WP11,Audit commercial lineage before choosing app weights,T31;T06,lineage_clearance,Restricted research assets excluded or permission documented,PLANNED,,,,
T38,WP11,Implement product and meal prototype modes,T37,research_prototype,Approved templates and explicit uncertainty,PLANNED,,,,
T39,WP11,Export compress and retest device parity,T38,device_report,Calibration and claim errors measured after export,PLANNED,,,,
T40,WP11,Complete security privacy and intended-purpose review,T39,prototype_review,No public release inferred from paper acceptance,PLANNED,,,,
T41,WP12,Run approved formative comprehension study,T40,formative_report,Misinterpretations recorded and remediated,PLANNED,,,,
T42,WP12,Freeze and run controlled user study,T41,controlled_user_results,Independent participants; appropriate reliance not cancer reduction,PLANNED,,,,
T43,WP12,Make documented public-release decision,T42,release_decision,Regulatory rights safety and incident requirements satisfied,PLANNED,,,,
T44,WP-L,Obtain laboratory partner and separate protocol,T02,lab_feasibility_decision,Not a dependency of the core paper,PLANNED,,,,
T45,WP-L,Run paired specimen assay pilot when authorised,T44,lab_pilot,Blanks detection limits batches and reference methods recorded,PLANNED,,,,
